id,name,rating,ratings_count,genres,tags
58781,The Elder Scrolls VI,4.86,6,"Action, RPG","Singleplayer, Atmospheric, RPG, Open World, First-Person"
975381,No Case Should Remain Unsolved,4.83,6,"Adventure, Indie","Singleplayer, Steam Achievements, Steam Cloud, Story Rich, 2D"
53962,Gimmick!,4.83,5,,Singleplayer
53594,Super Robot Taisen: Original Generation,4.83,6,"Action, Strategy","Singleplayer, exclusive, true exclusive"
43252,The Witcher 3: Wild Hunt – Blood and Wine,4.81,627,RPG,"Horror, War, Blood, love"
257255,The Witcher 3 Wild Hunt - Complete Edition,4.8,796,"Adventure, RPG","Fantasy, War, combat, Magic, explore"
43050,The Witcher 3: Wild Hunt – Hearts of Stone,4.76,686,RPG,"Romance, Monsters, hunt, pack"
339958,Persona 5 Royal,4.75,527,"Adventure, RPG","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Great Soundtrack"
4167,Mass Effect Trilogy,4.75,138,"Action, Shooter, RPG","War, console, ancient"
846303,Cyberpunk 2077: Phantom Liberty,4.71,434,"Action, Shooter","Sci-fi, Exploration, Violent, Futuristic, Cyberpunk"
830060,Sonic Triple Trouble 16-Bit (NoahNCopeland),4.71,7,"Action, Adventure, Indie, Platformer",
605544,Bloodborne: The Old Hunters,4.71,73,"Action, RPG",Souls-like
517295,Adventure Island IV,4.71,6,"Adventure, Platformer",
379563,Guilty Parade,4.71,6,"Adventure, Indie","Singleplayer, Atmospheric, Story Rich, Sci-fi, Comedy"
241048,Godzilla Save the Earth,4.71,7,"Action, Fighting","Multiplayer, combat, battle, city, fight"
67281,Arcaea,4.71,7,"Arcade, Casual","online, Music, friends, Rhythm, japan"
41975,Victoria 2: Heart of Darkness,4.71,6,Strategy,"Multiplayer, Space, War, combat, battle"
27612,Harvest Moon: Friends of Mineral Town (Wii),4.71,7,"Adventure, Simulation","console, build, Animals, NES, farm"
536886,The Binding of Isaac: Repentance,4.69,123,Action,
3636,The Last Of Us Remastered,4.69,2853,"Action, Adventure","Multiplayer, Atmospheric, Survival, Stealth, Action-Adventure"
1016144,Esoteric Ebb,4.67,4,Adventure,
968497,Quake II: Enhanced Edition,4.67,6,"Action, Shooter","Singleplayer, First-Person, Sci-fi, Horror, FPS"
966768,That level again 2,4.67,6,"Casual, Indie, Puzzle","Singleplayer, Steam Achievements, 2D, Multiple Endings, Linear"
930650,Charlie (Hazbin Hotel) mega porn pack 1,4.67,6,,
836592,Red Matter 2,4.67,6,"Action, Adventure, Indie","Singleplayer, Steam Cloud, Atmospheric, Story Rich, Sci-fi"
799265,The Last of Us Part I,4.67,550,"Action, Shooter, Adventure","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud"
692717,Death Palette,4.67,5,"Adventure, Puzzle","Traps, girl, paint, terminal"
664425,Outlast Mobile Demo,4.67,6,,"First-Person, Horror, Survival Horror, 3D, Monsters"
521769,One Night at Flumpty's,4.67,6,"Strategy, Puzzle","Space, friends, fun, night, egg"
463689,siren head simulator (mr bonnie),4.67,6,Simulation,Horror
409572,Nekketsu Kakutou Densetsu,4.67,6,Fighting,
358964,Project M,4.67,6,Action,"exclusive, true exclusive"
330399,Liero,4.67,6,Action,
281857,Sengoku Basara 2,4.67,6,Action,
268300,Shining Force III,4.67,6,"RPG, Strategy","RPG, exclusive, Turn-Based, true exclusive, turn-based-battle"
61256,Superfighters Deluxe,4.67,7,"Action, Indie","Singleplayer, Multiplayer, Co-op, cooperative, 2D"
58972,Jump Ultimate Stars,4.67,6,Fighting,"Singleplayer, Multiplayer, Anime, exclusive, true exclusive"
55157,Turrican,4.67,6,,Singleplayer
49840,Dominions 5 - Warriors of the Faith,4.67,6,"Strategy, Indie","Singleplayer, Multiplayer, Co-op, Online Co-Op, Fantasy"
38816,Gemfire,4.67,6,Strategy,"Singleplayer, Multiplayer"
